recall,above 70,effort,number of docs,number of relevant
1,True,1.0,2075,24
1,True,1.0,971,26
1,True,1.0,65,12
0.4444444444444444,False,0.653450807636,5221,99
1.0,True,0.999158249158,792,77
1,True,1.0,1616,92
1,True,1.0,2249,25
1,True,1.0,5972,104
0.6739130434782609,False,0.756624825662,1912,46
1,True,1.0,6456,138
0.6071428571428571,False,0.74754726011,2786,56
1,True,1.0,6532,460
1,True,1.0,982,52
0.9074074074074074,True,0.861717612809,5496,54
1,True,1.0,12808,114
1,True,1.0,349,20
1,True,1.0,8003,45
1,True,1.0,115,23
1,True,1.0,317,47
1,True,1.0,242,11
1,True,1.0,95,7
1,True,1.0,170,6
1,True,1.00006131396,10873,202

0.9405612066292596,0.8695652173913043,0.957328698667
